journal-title,wikidata-url,wikidata-id,ISSN,eISSN
Madroño,https://www.wikidata.org/wiki/Q5989477,Q5989477,0024-9637,1943-6297
American Journal of Botany,https://www.wikidata.org/wiki/Q2664693,Q2664693,0002-9122,1537-2197
Memoirs of the New York Botanical Garden,https://www.wikidata.org/wiki/Q2843475,Q2843475,0077-8931,2662-2858
Pacific Science,https://www.wikidata.org/wiki/Q6056825,Q6056825,0030-8870,1534-6188
University of California Publications in Botany,https://www.wikidata.org/wiki/Q2883120,Q2883120,0068-6395,
Tropical Woods,https://www.wikidata.org/wiki/Q6153288,Q6153288,0097-6857,
Brittonia,https://www.wikidata.org/wiki/Q2392068,Q2392068,0007-196X,1938-436X
Aliso,https://www.wikidata.org/wiki/Q4726993,Q4726993,0065-6275,2327-2929
Phytomorphology: an international journal of plant morphology,https://www.wikidata.org/wiki/Q15756141,Q15756141,,
The Quarterly Review of Biology,https://www.wikidata.org/wiki/Q2367751,Q2367751,0033-5770,1539-7718
Evolution,https://www.wikidata.org/wiki/Q4038411,Q4038411,,
Bulletin of the Torrey Botanical Club,https://www.wikidata.org/wiki/Q13548538,Q13548538,0040-9618,2325-8055
Annals of the Missouri Botanical Garden,https://www.wikidata.org/wiki/Q2530335,Q2530335,0026-6493,2162-4372
Biotropica,https://www.wikidata.org/wiki/Q4915383,Q4915383,0006-3606,1744-7429
Botanical Journal of the Linnean Society,https://www.wikidata.org/wiki/Q2975482,Q2975482,0024-4074,1095-8339
BioScience,https://www.wikidata.org/wiki/Q1092250,Q1092250,0006-3568,1525-3244
Australian Journal of Botany,https://www.wikidata.org/wiki/Q2076928,Q2076928,0067-1924,1444-9862
Botanical Gazette,https://www.wikidata.org/wiki/Q894627,Q894627,0006-8071,1940-1205
Journal of the Arnold Arboretum,https://www.wikidata.org/wiki/Q1709876,Q1709876,0004-2625,2474-3283
Journal of South African Botany,https://www.wikidata.org/wiki/Q5946711,Q5946711,0022-4618,
Botaniska Notiser,https://www.wikidata.org/wiki/Q4948499,Q4948499,1650-3767,2002-4118
Allertonia,https://www.wikidata.org/wiki/Q5669286,Q5669286,0735-8032,2328-1995
American Scientist,https://www.wikidata.org/wiki/Q2493243,Q2493243,0003-0996,1545-2786
IAWA Bulletin,https://www.wikidata.org/wiki/Q139104902,Q139104902,0254-3915,
Adansonia,https://www.wikidata.org/wiki/Q2584794,Q2584794,,
Stain Technology,https://www.wikidata.org/wiki/Q113440339,Q113440339,0038-9153,
Flora,https://www.wikidata.org/wiki/Q15733645,Q15733645,0367-2530,1618-0585
Taxon,https://www.wikidata.org/wiki/Q2003024,Q2003024,0040-0262,1996-8175
Plant Systematics and Evolution,https://www.wikidata.org/wiki/Q2891391,Q2891391,0378-2697,1615-6110
Systematic Botany,https://www.wikidata.org/wiki/Q6136935,Q6136935,0363-6445,1548-2324
"Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie",https://www.wikidata.org/wiki/Q5732642,Q5732642,,
Science Series,https://www.wikidata.org/wiki/Q21384976,Q21384976,,
Phytologia,https://www.wikidata.org/wiki/Q2230701,Q2230701,0031-9430,2377-7583
Nordic Journal of Botany,https://www.wikidata.org/wiki/Q2686388,Q2686388,,1756-1051
IAWA Journal,https://www.wikidata.org/wiki/Q15761372,Q15761372,0928-1541,2294-1932
International Journal of Plant Sciences,https://www.wikidata.org/wiki/Q2070198,Q2070198,1058-5893,1537-5315
Sida,https://www.wikidata.org/wiki/Q6127425,Q6127425,0036-1488,2334-3273
American Fern Journal,https://www.wikidata.org/wiki/Q5672427,Q5672427,0002-8444,1938-422X
Journal of the Torrey Botanical Society,https://www.wikidata.org/wiki/Q22078437,Q22078437,1095-5674,1940-0616
Blumea,https://www.wikidata.org/wiki/Q1086260,Q1086260,0006-5196,2212-1676
"Anales del Instituto de Biología, Universidad Nacional Autónoma de México. Serie botánica",https://www.wikidata.org/wiki/Q5694357,Q5694357,,
Aquatic Botany,https://www.wikidata.org/wiki/Q4782787,Q4782787,0304-3770,1879-1522
South African Journal of Botany,https://www.wikidata.org/wiki/Q6132741,Q6132741,0254-6299,1727-9321
Journal of the Royal Society of Western Australia,https://www.wikidata.org/wiki/Q6296200,Q6296200,0035-922X,
Botany,https://www.wikidata.org/wiki/Q4948501,Q4948501,1916-2790,1916-2804
The Botanical Review,https://www.wikidata.org/wiki/Q1888806,Q1888806,0006-8101,1874-9372
Journal of the Botanical Research Institute of Texas,https://www.wikidata.org/wiki/Q15731314,Q15731314,1934-5259,2644-1608
Journal of Systematics and Evolution,https://www.wikidata.org/wiki/Q15733644,Q15733644,1674-4918,1759-6831
