title,container-title,year,issued,author,editor,publisher,volume,issue,page,type,container-ISSN,container-eISSN,container-ISBN,container-OCLC-number,DOI,wikidata-id,wikidata-url,URL,language
On the Generic Limits of Eriophyllum (Compositae) and Related Genera,Madroño,1956,1956-07,"Carlquist, S.",,,13,7,226-239,article-journal,0024-9637,1943-6297,,,,Q93973579,https://www.wikidata.org/wiki/Q93973579,https://www.jstor.org/stable/10.2307/41422881,en
On the Occurrence of Intercellular Pectic Warts in Compositae,American Journal of Botany,1956,1956,"Carlquist, S.",,,43,,425-429,article-journal,0002-9122,1537-2197,,,10.1002/j.1537-2197.1956.tb10512.x,Q139077127,https://www.wikidata.org/wiki/Q139077127,,en
Anatomy of Guayana mutisieae,Memoirs of the New York Botanical Garden,1957,1957-05-23,"Carlquist, S.",,,9,3,441-476,article-journal,0077-8931,2662-2858,,,,Q139076661,https://www.wikidata.org/wiki/Q139076661,https://www.biodiversitylibrary.org/part/247292,en
Leaf Anatomy and Ontogeny in Argyroxiphium and Wilkesia (Compositae),American Journal of Botany,1957,1957,"Carlquist, S.",,,44,,696-705,article-journal,0002-9122,1537-2197,,,10.1002/j.1537-2197.1957.tb08253.x,Q139077128,https://www.wikidata.org/wiki/Q139077128,,en
Systematic Anatomy of Hesperomannia,Pacific Science,1957,1957,"Carlquist, S.",,,11,,207-215,article-journal,0030-8870,1534-6188,,,,Q100376810,https://www.wikidata.org/wiki/Q100376810,,en
The Genus Fitchia (Compositae),University of California Publications in Botany,1957,1957,"Carlquist, S.",,,29,,1-144,article-journal,0068-6395,,,,,Q139106793,https://www.wikidata.org/wiki/Q139106793,,en
Wood Anatomy of Mutisieae (Compositae),Tropical Woods,1957,1957,"Carlquist, S.",,,106,,29-45,article-journal,0097-6857,,,,,Q139076815,https://www.wikidata.org/wiki/Q139076815,,en
Anatomy And Systematic Position of Centaurodendron and Yunquea (Compositae),Brittonia,1958,1958-04-01,"Carlquist, S.",,,10,2,78-93,article-journal,0007-196X,1938-436X,,,10.2307/2804919,Q139077505,https://www.wikidata.org/wiki/Q139077505,https://www.jstor.org/stable/10.2307/2804919,en
Structure and Ontogeny of Glandular Trichomes of Madinae (Compositae),American Journal of Botany,1958,1958,"Carlquist, S.",,,45,,675-682,article-journal,0002-9122,1537-2197,,,10.1002/j.1537-2197.1958.tb12221.x,Q139077129,https://www.wikidata.org/wiki/Q139077129,,en
The Woods and Flora of the Florida Keys,Tropical Woods,1958,1958,"Carlquist, S.",,,109,,1-37,article-journal,0097-6857,,,,,Q139106794,https://www.wikidata.org/wiki/Q139106794,,en
Wood Anatomy of Heliantheae (Compositae),Tropical Woods,1958,1958,"Carlquist, S.",,,108,,1-30,article-journal,0097-6857,,,,,Q139076816,https://www.wikidata.org/wiki/Q139076816,,en
Glandular Structures of Holocarpha and Their Ontogeny,American Journal of Botany,1959,1959,"Carlquist, S.",,,46,,300-308,article-journal,0002-9122,1537-2197,,,10.1002/j.1537-2197.1959.tb07016.x,Q139077130,https://www.wikidata.org/wiki/Q139077130,,en
"Studies on Madinae: Anatomy, Cytology, and Evolutionary Relationships",Aliso,1959,1959,"Carlquist, S.",,,4,2,171-236,article-journal,0065-6275,2327-2929,,,10.5642/aliso.19590402.02,Q125293619,https://www.wikidata.org/wiki/Q125293619,https://scholarship.claremont.edu/aliso/vol4/iss2/2,en
The Leaf of Calycadenia and its Glandular Appendages,American Journal of Botany,1959,1959,"Carlquist, S.",,,46,,70-80,article-journal,0002-9122,1537-2197,,,10.1002/j.1537-2197.1959.tb06985.x,Q139077131,https://www.wikidata.org/wiki/Q139077131,,en
"Vegetative Anatomy of Dubautia, Argyroxiphium, and Wilkesia (Compositae)",Pacific Science,1959,1959,"Carlquist, S.",,,13,,195-210,article-journal,0030-8870,1534-6188,,,,Q100376884,https://www.wikidata.org/wiki/Q100376884,,en
Wood Anatomy of Helenieae (Compositae),Tropical Woods,1959,1959,"Carlquist, S.",,,111,,19-39,article-journal,0097-6857,,,,,Q139076817,https://www.wikidata.org/wiki/Q139076817,,en
"Anatomy of Guayana xyridaceae: Abolboda, Orectanthe, and Achlyphila",Memoirs of the New York Botanical Garden,1960,1960,"Carlquist, S.",,,10,2,65-117,article-journal,0077-8931,2662-2858,,,,Q139076662,https://www.wikidata.org/wiki/Q139076662,https://www.biodiversitylibrary.org/part/324550,en
Wood Anatomy of Astereae (Compositae),Tropical Woods,1960,1960,"Carlquist, S.",,,113,,54-84,article-journal,0097-6857,,,,,Q139076818,https://www.wikidata.org/wiki/Q139076818,,en
Wood Anatomy of Cichorieae (Compositae),Tropical Woods,1960,1960,"Carlquist, S.",,,112,,65-91,article-journal,0097-6857,,,,,Q139076820,https://www.wikidata.org/wiki/Q139076820,,en
Pollen Morphology of Rapateaceae,Aliso,1961,1961,"Carlquist, S.",,,5,1,39-66,article-journal,0065-6275,2327-2929,,,10.5642/aliso.19610501.07,Q139077249,https://www.wikidata.org/wiki/Q139077249,https://scholarship.claremont.edu/aliso/vol5/iss1/7/,en
Wood Anatomy of Inuleae (Compositae),Aliso,1961,1961,"Carlquist, S.",,,5,1,21-37,article-journal,0065-6275,2327-2929,,,10.5642/aliso.19610501.06,Q139077251,https://www.wikidata.org/wiki/Q139077251,https://scholarship.claremont.edu/aliso/vol5/iss1/6,en
Comparative Plant Anatomy,,1961,1961,"Carlquist, S.",,"Holt, Rinehart & Winston",,,,book,,,,327635,,Q138774543,https://www.wikidata.org/wiki/Q138774543,,en
A Theory of Paedomorphosis in Dicotyledonous Woods,Phytomorphology,1962,1962,"Carlquist, S.",,,12,,30-45,article-journal,,,,,,Q139077642,https://www.wikidata.org/wiki/Q139077642,,en
Ontogeny and Comparative Anatomy of Thorns of Hawaiian Lobeliaceae,American Journal of Botany,1962,1962,"Carlquist, S.",,,49,,413-419,article-journal,0002-9122,1537-2197,,,10.1002/j.1537-2197.1962.tb14959.x,Q139077132,https://www.wikidata.org/wiki/Q139077132,,en
Trematolobelia: Seed Dispersal; Anatomy of Fruit and Seeds,Pacific Science,1962,1962,"Carlquist, S.",,,16,,126-134,article-journal,0030-8870,1534-6188,,,,Q100377029,https://www.wikidata.org/wiki/Q100377029,,en
Wood Anatomy of Senecioneae (Compositae),Aliso,1962,1962,"Carlquist, S.",,,5,2,123-146,article-journal,0065-6275,2327-2929,,,10.5642/aliso.19620502.03,Q139077252,https://www.wikidata.org/wiki/Q139077252,https://scholarship.claremont.edu/aliso/vol5/iss2/3,en
Studies in Fitchia (Compositae): Novelties From the Society Islands; Anatomical Studies,Pacific Science,1963,1963,"Carlquist, S.; Grant, Martin L.",,,17,,282-298,article-journal,0030-8870,1534-6188,,,,Q100377081,https://www.wikidata.org/wiki/Q100377081,,en
Leaf Anatomy as an Indicator of Salvia Apiana-mellifera Introgression,Aliso,1964,1964,"Webb, Alice-Ann; Carlquist, S.",,,5,4,437-449,article-journal,0065-6275,2327-2929,,,10.5642/aliso.19640504.04,Q139119296,https://www.wikidata.org/wiki/Q139119296,https://scholarship.claremont.edu/aliso/vol5/iss4/4,en
Morphology and Relationships of Lactoridaceae,Aliso,1964,1964,"Carlquist, S.",,,5,4,421-435,article-journal,0065-6275,2327-2929,,,10.5642/aliso.19640504.03,Q139077254,https://www.wikidata.org/wiki/Q139077254,https://scholarship.claremont.edu/aliso/vol5/iss4/3,en
Pollen Morphology and Evolution of Sarcolaenaceae (Chlaenaceae),Brittonia,1964,1964-07-15,"Carlquist, S.",,,16,3,231-254,article-journal,0007-196X,1938-436X,,,10.2307/2805059,Q139077506,https://www.wikidata.org/wiki/Q139077506,https://www.jstor.org/stable/10.2307/2805059,en
Wood Anatomy of Vernonieae (Compositae),Aliso,1964,1964,"Carlquist, S.",,,5,4,451-467,article-journal,0065-6275,2327-2929,,,10.5642/aliso.19640504.05,Q139077255,https://www.wikidata.org/wiki/Q139077255,https://scholarship.claremont.edu/aliso/vol5/iss4/5,en
Wood Anatomy of Cynareae (Compositae),Aliso,1965,1965,"Carlquist, S.",,,6,1,13-24,article-journal,0065-6275,2327-2929,,,10.5642/aliso.19650601.04,Q139077256,https://www.wikidata.org/wiki/Q139077256,https://scholarship.claremont.edu/aliso/vol6/iss1/4,en
Wood Anatomy of Eupatorieae (Compositae),Aliso,1965,1965,"Carlquist, S.",,,6,1,89-103,article-journal,0065-6275,2327-2929,,,10.5642/aliso.19650601.07,Q139077257,https://www.wikidata.org/wiki/Q139077257,https://scholarship.claremont.edu/aliso/vol6/iss1/7,en
Island Life. A Natural History of the Islands of the World,,1965,1965,"Carlquist, S.",,Natural History Press,,,,book,,,,765549,,Q138774544,https://www.wikidata.org/wiki/Q138774544,,en
Anatomy of Rapateaceae. Roots and Stems,Phytomorphology,1966,1966,"Carlquist, S.",,,16,,17-38,article-journal,,,,,,Q139077643,https://www.wikidata.org/wiki/Q139077643,,en
The Biota of Long-Distance Dispersal. I. Principles of Dispersal and Evolution,The Quarterly Review of Biology,1966,1966-09,"Carlquist, S.",,,41,3,247-270,article-journal,0033-5770,1539-7718,,,10.1086/405054,Q61661711,https://www.wikidata.org/wiki/Q61661711,https://www.jstor.org/stable/10.2307/2819932,en
The Biota of Long-Distance Dispersal. II. Loss of Dispersibility in Pacific Compositae,Evolution,1966,1966,"Carlquist, S.",,,20,,30-48,article-journal,,,,,10.1111/j.1558-5646.1966.tb03341.x,Q46082808,https://www.wikidata.org/wiki/Q46082808,,en
The Biota of Long-Distance Dispersal. III. Loss of Dispersibility in the Hawaiian Flora,Brittonia,1966,1966-10,"Carlquist, S.",,,18,4,310-335,article-journal,0007-196X,1938-436X,,,10.2307/2805148,Q55768413,https://www.wikidata.org/wiki/Q55768413,https://www.jstor.org/stable/10.2307/2805148,en
The Biota of Long-Distance Dispersal. IV. Genetic Systems in the Floras of Oceanic Islands,Evolution,1966,1966,"Carlquist, S.",,,20,,433-455,article-journal,,,,,10.2307/2406583,Q44838324,https://www.wikidata.org/wiki/Q44838324,,en
